match,team1,team2,team1_xg,team2_xg,score,xg_score,date,attendance,venue,referee,team1_captain,team2_captain,team1_manager,team2_manager,team1_possession,team2_possession,team1_completed_passes,team1_attempted_pases,team2_completed_passes,team2_attempted_pases,team1_shots_on_target,team2_shots_on_target,team1_total_shots,team2_total_shots,team1_saves,team2_saves,team1_fouls,team2_fouls,team1_corners,team2_corners,team1_crosses,team2_crosses,team1_tackles,team2_tackles,team1_interceptions,team2_interceptions,team1_aerials_won,team2_aerials_won,team1_clearances,team2_clearances,team1_offsides,team2_offsides,penalties scored team1,penalties scored team2,free kicks team1,free kicks team2,yellow cards team1,yellow cards team2,red cards team1,red cards team2
1,Qatar,Ecuador,0.3,1.2,0-2,0.3 - 1.2,20-Nov-22,67372,Al Bayt Stadium,Daniele Orsato,Hassan Al-Haydos,Enner Valencia,FÃ©lix SÃ¡nchez,Gustavo Alfaro,47,53,377,469,430,522,0,2,5,5,1,0,15,15,1,3,8,14,10,14,2,12,14,13,18,7,3,4,0,1,19,17,4,2,0,0
2,England,IR Iran,2.1,1.4,6-2,2.1 - 1.4,21-Nov-22,45334,Khalifa International Stadium,Raphael Claus,Harry Kane,Ehsan Hajsafi,Gareth Southgate,Carlos Queiroz,77,23,740,838,162,248,7,2,13,7,1,1,9,14,8,0,21,8,13,12,7,16,10,10,4,23,2,2,0,1,16,10,0,2,0,0
3,Senegal,Netherlands,0.9,0.7,0-2,0.9 - 0.7,21-Nov-22,41721,Al Thumama Stadium,Wilton Sampaio,Kalidou Koulibaly,Virgil van Dijk,Aliou CissÃ©,Louis van Gaal,46,54,333,427,387,494,4,3,15,10,1,4,13,13,6,7,19,25,14,10,10,6,22,20,32,16,2,1,0,0,14,14,2,1,0,0
4,United States,Wales,0.8,1.5,1-1,0.8 - 1.5,21-Nov-22,43418,Ahmed bin Ali Stadium,Abdulrahman Ibrahim Al Jassim,Tyler Adams,Gareth Bale,Gregg Berhalter,Rob Page,58,42,524,624,335,446,1,2,6,6,2,0,15,10,5,3,30,14,14,18,6,8,14,12,18,31,1,1,0,1,11,15,4,2,0,0
5,Argentina,Saudi Arabia,2.2,0.1,1-2,2.2 - 0.1,22-Nov-22,88012,Lusail Iconic Stadium,Slavko VinÄiÄ,Lionel Messi,Salman Al-Faraj,Lionel Scaloni,HervÃ© Renard,69,31,546,659,195,294,5,2,14,3,0,5,7,21,9,2,23,10,17,18,9,14,16,7,11,26,10,1,1,0,22,16,0,6,0,0
6,Denmark,Tunisia,1.4,0.9,0-0,1.4 - 0.9,22-Nov-22,42925,Education City Stadium,CÃ©sar Arturo Ramos,Simon Kjaer,Youssef Msakni,Kasper Hjulmand,Jalel Kadri,61,39,533,649,308,419,5,1,11,13,1,5,9,10,11,9,25,13,12,24,11,8,20,13,12,38,1,1,0,0,11,10,2,1,0,0
7,Mexico,Poland,0.7,0.9,0-0,0.7 - 0.9,22-Nov-22,39369,Stadium 974,Chris Beath,Guillermo Ochoa,Robert Lewandowski,Tata Martino,CzesÅ‚aw Michniewicz,60,40,436,547,255,363,4,1,11,5,1,4,14,15,6,5,33,15,16,17,5,8,16,18,19,29,3,0,0,0,16,16,2,1,0,0
8,France,Australia,4,0.5,4-1,4 - 0.5,22-Nov-22,40875,Al Janoub Stadium,Victor Gomes,Hugo Lloris,Mathew Ryan,Didier Deschamps,Graham Arnold,62,38,678,768,391,473,6,1,23,4,0,2,5,11,8,1,27,6,20,13,12,9,16,8,6,23,0,0,0,0,11,5,0,3,0,0
9,Morocco,Croatia,0.4,0.5,0-0,0.4 - 0.5,23-Nov-22,59407,Al Bayt Stadium,Fernando Rapallini,Romain Saiss,Luka Modric,Hoalid Regragui,Zlatko DaliÄ‡,36,64,298,384,581,693,2,1,8,5,1,2,16,11,0,5,8,18,21,17,13,10,14,12,21,11,0,1,0,0,12,17,1,0,0,0
10,Germany,Japan,3.1,1.5,1-2,3.1 - 1.5,23-Nov-22,42608,Khalifa International Stadium,IvÃ¡n Barton,Manuel Neuer,Maya Yoshida,Hansi Flick,Hajime Moriyasu,74,26,727,836,204,298,8,4,25,12,2,8,6,14,6,6,25,11,11,29,3,6,21,12,4,38,4,4,1,0,17,10,0,0,0,0
11,Spain,Costa Rica,3.5,0,7-0,3.5 - 0,23-Nov-22,40013,Al Thumama Stadium,Mohammed Abdulla Hassan,Sergio Busquets,Keylor Navas,Luis Enrique,Luis Fernando SuÃ¡rez,81,19,1009,1093,178,256,7,0,16,0,0,1,8,12,5,0,15,4,14,21,4,14,9,13,4,18,3,7,1,0,18,11,0,2,0,0
12,Belgium,Canada,0.8,2.4,1-0,0.8 - 2.4,23-Nov-22,40432,Ahmed bin Ali Stadium,Janny Sikazwe,Eden Hazard,Atiba Hutchinson,Roberto MartÃ­nez,John Herdman,53,47,451,546,392,485,3,2,9,21,2,2,11,14,4,4,7,19,19,13,3,5,8,7,29,4,0,1,0,0,15,10,3,2,0,0
13,Switzerland,Cameroon,1.4,0.7,1-0,1.4 - 0.7,24-Nov-22,39089,Al Janoub Stadium,Facundo Tello,Granit Xhaka,Eric Maxim Choupo-Moting,Murat Yakin,Rigobert Song,51,49,455,558,442,537,3,5,7,8,5,2,12,10,11,5,20,23,15,12,3,11,14,12,20,17,2,2,0,0,11,14,2,1,0,0
14,Uruguay,Korea Republic,0.6,0.6,0-0,0.6 - 0.6,24-Nov-22,41663,Education City Stadium,ClÃ©ment Turpin,Diego GodÃ­n,Son Heung-min,Diego Alonso,Paulo Bento,56,44,475,585,350,467,1,0,10,7,0,1,7,10,4,3,13,19,16,12,10,10,25,21,20,16,1,0,0,0,10,8,1,1,0,0
15,Portugal,Ghana,2,0.9,3-2,2 - 0.9,24-Nov-22,42662,Stadium 974,Ismail Elfath,Cristiano Ronaldo,Andrey Ayew,Fernando Santos,Otto Addo,62,38,573,660,328,413,4,3,10,9,1,2,14,19,3,3,20,11,16,14,5,6,19,7,15,17,1,1,1,0,19,15,2,4,0,0
16,Brazil,Serbia,2.4,0.2,2-0,2.4 - 0.2,24-Nov-22,88103,Lusail Iconic Stadium,Alireza Faghani,Thiago Silva,Dusan Tadic,Tite,Dragan StojkoviÄ‡,59,41,534,628,344,439,9,0,23,5,0,7,7,12,6,4,17,13,17,24,2,11,8,11,16,22,1,0,0,0,12,8,0,3,0,0
17,Wales,IR Iran,0.9,1.4,0-2,0.9 - 1.4,25-Nov-22,40875,Ahmed bin Ali Stadium,Mario Escobar,Gareth Bale,Ehsan Hajsafi,Rob Page,Carlos Queiroz,62,38,437,568,222,350,3,6,10,21,4,3,9,10,2,7,20,24,10,19,6,14,21,15,30,20,2,2,0,0,12,11,1,2,1,0
18,Qatar,Senegal,1,0.8,1-3,1 - 0.8,25-Nov-22,41797,Al Thumama Stadium,Antonio MatÃ©u,Hassan Al-Haydos,Kalidou Koulibaly,FÃ©lix SÃ¡nchez,Aliou CissÃ©,45,55,333,417,459,548,3,5,10,13,2,2,7,12,6,6,20,18,16,8,10,5,12,15,16,18,4,3,0,0,15,11,3,3,0,0
19,Netherlands,Ecuador,0.1,1.7,1-1,0.1 - 1.7,25-Nov-22,44833,Khalifa International Stadium,Mustapha Ghorbal,Virgil van Dijk,Enner Valencia,Louis van Gaal,Gustavo Alfaro,54,46,442,542,358,468,1,4,2,15,3,0,15,12,2,5,7,22,25,16,9,9,18,15,23,16,1,4,0,0,16,16,0,1,0,0
20,England,United States,0.8,0.6,0-0,0.8 - 0.6,25-Nov-22,68463,Al Bayt Stadium,JesÃºs Valenzuela,Harry Kane,Tyler Adams,Gareth Southgate,Gregg Berhalter,55,45,495,577,378,463,3,1,8,10,1,3,9,15,3,7,14,16,9,12,9,3,11,10,21,15,1,0,0,0,15,10,0,0,0,0
21,Tunisia,Australia,0.9,0.6,0-1,0.9 - 0.6,26-Nov-22,41823,Al Janoub Stadium,Daniel Siebert,Youssef Msakni,Mathew Ryan,Jalel Kadri,Graham Arnold,59,41,418,565,264,398,4,2,14,9,1,4,16,15,5,2,25,21,18,19,8,11,26,24,24,38,3,0,0,0,15,19,3,0,0,0
22,Poland,Saudi Arabia,1.6,1.7,2-0,1.6 - 1.7,26-Nov-22,44259,Education City Stadium,Wilton Sampaio,Robert Lewandowski,Salem Al-Dawsari,CzesÅ‚aw Michniewicz,HervÃ© Renard,37,63,249,337,483,582,3,4,9,15,4,1,18,15,4,5,16,20,13,14,9,9,15,20,29,13,0,0,0,0,15,17,3,2,0,0
23,France,Denmark,2.4,0.6,2-1,2.4 - 0.6,26-Nov-22,42860,Stadium 974,Szymon Marciniak,Hugo Lloris,Kasper Schmeichel,Didier Deschamps,Kasper Hjulmand,49,51,455,539,485,572,6,2,21,10,1,4,4,9,6,4,20,16,20,19,10,5,9,14,15,18,1,1,0,0,10,5,1,2,0,0
24,Argentina,Mexico,0.3,0.3,2-0,0.3 - 0.3,26-Nov-22,88966,Lusail Iconic Stadium,Daniele Orsato,Lionel Messi,AndrÃ©s Guardado,Lionel Scaloni,Tata Martino,58,42,471,568,304,409,2,1,5,4,1,0,15,19,4,2,13,15,14,18,7,13,15,14,18,17,2,4,0,0,23,17,1,4,0,0
25,Japan,Costa Rica,0.9,0.1,0-1,0.9 - 0.1,27-Nov-22,41479,Ahmed bin Ali Stadium,Michael Oliver,Maya Yoshida,Keylor Navas,Hajime Moriyasu,Luis Fernando SuÃ¡rez,57,43,528,619,371,473,3,1,13,4,0,3,22,9,5,0,14,6,17,25,4,9,12,13,7,20,0,2,0,0,11,22,3,3,0,0
26,Belgium,Morocco,1,1.5,0-2,1 - 1.5,27-Nov-22,43738,Al Thumama Stadium,CÃ©sar Arturo Ramos,Eden Hazard,Romain Saiss,Roberto MartÃ­nez,Hoalid Regragui,67,33,602,701,287,351,3,4,10,10,2,3,10,14,9,1,22,8,15,22,7,9,15,11,5,24,3,3,0,0,17,13,1,1,0,0
27,Croatia,Canada,2.6,0.4,4-1,2.6 - 0.4,27-Nov-22,44374,Khalifa International Stadium,AndrÃ©s Matonte,Luka Modric,Atiba Hutchinson,Zlatko DaliÄ‡,John Herdman,49,51,402,498,435,528,10,2,13,8,1,6,13,5,5,2,21,16,25,15,10,6,6,13,19,29,1,3,0,0,8,14,2,2,0,0
28,Spain,Germany,0.6,1.3,1-1,0.6 - 1.3,27-Nov-22,68895,Al Bayt Stadium,Danny Makkelie,Sergio Busquets,Manuel Neuer,Luis Enrique,Hansi Flick,64,36,569,670,287,381,3,4,7,11,3,2,13,11,6,5,6,11,17,29,8,13,9,6,13,12,2,5,0,0,16,15,1,3,0,0
29,Cameroon,Serbia,2.2,1.9,3-3,2.2 - 1.9,28-Nov-22,39789,Al Janoub Stadium,Mohammed Abdulla Hassan,Eric Maxim Choupo-Moting,Dusan Tadic,Rigobert Song,Dragan StojkoviÄ‡,41,59,271,390,437,556,8,5,13,15,2,5,8,13,4,3,19,21,8,16,19,5,15,13,22,18,0,4,0,0,17,8,2,2,0,0
30,Korea Republic,Ghana,1.8,1.6,2-3,1.8 - 1.6,28-Nov-22,43983,Education City Stadium,Anthony Taylor,Son Heung-min,Andrey Ayew,Paulo Bento,Otto Addo,63,37,494,601,270,351,6,3,22,7,0,4,13,9,12,5,46,15,15,17,2,6,22,18,19,50,1,1,0,0,10,14,2,2,0,0
31,Brazil,Switzerland,1,0.3,1-0,1 - 0.3,28-Nov-22,43649,Stadium 974,IvÃ¡n Barton,Thiago Silva,Granit Xhaka,Tite,Murat Yakin,54,46,511,604,423,517,5,0,13,6,0,4,10,17,8,3,25,9,21,18,10,4,8,5,9,26,3,1,0,0,18,13,1,1,0,0
32,Portugal,Uruguay,1.3,1.3,2-0,1.3 - 1.3,28-Nov-22,88668,Lusail Iconic Stadium,Alireza Faghani,Cristiano Ronaldo,Diego GodÃ­n,Fernando Santos,Diego Alonso,59,41,525,643,315,438,2,3,14,11,3,1,10,16,6,2,15,17,10,12,7,12,15,7,17,12,3,0,1,0,15,13,3,2,0,0
33,Ecuador,Senegal,0.9,2.1,1-2,0.9 - 2.1,29-Nov-22,44569,Khalifa International Stadium,ClÃ©ment Turpin,Enner Valencia,Kalidou Koulibaly,Gustavo Alfaro,Aliou CissÃ©,61,39,365,482,203,312,4,2,9,13,1,3,23,11,3,6,21,21,15,10,7,10,21,17,19,29,0,3,0,0,9,24,1,0,0,0
34,Netherlands,Qatar,1.6,0.1,2-0,1.6 - 0.1,29-Nov-22,66784,Al Bayt Stadium,Bakary Papa Gassama,Virgil van Dijk,Hassan Al-Haydos,Louis van Gaal,FÃ©lix SÃ¡nchez,63,37,739,814,364,451,4,3,13,5,3,2,19,9,4,2,6,14,16,9,10,12,10,7,11,9,5,0,0,1,14,22,0,1,0,0
35,Wales,England,0.3,2.4,0-3,0.3 - 2.4,29-Nov-22,44297,Ahmed bin Ali Stadium,Slavko VinÄiÄ,Gareth Bale,Harry Kane,Rob Page,Gareth Southgate,36,64,272,352,545,626,1,7,7,18,4,1,16,9,1,6,2,14,12,6,7,5,9,12,17,7,1,1,0,0,10,17,2,0,0,0
36,IR Iran,United States,0.4,1.2,0-1,0.4 - 1.2,29-Nov-22,42127,Al Thumama Stadium,Antonio MatÃ©u,Ehsan Hajsafi,Tyler Adams,Carlos Queiroz,Gregg Berhalter,49,51,385,508,417,524,0,5,4,12,4,0,14,10,1,5,16,20,22,12,12,5,18,18,18,21,2,1,0,0,11,15,3,1,0,0
37,Australia,Denmark,0.6,0.6,1-0,0.6 - 0.6,30-Nov-22,41232,Al Janoub Stadium,Mustapha Ghorbal,Mathew Ryan,Christian Eriksen,Graham Arnold,Kasper Hjulmand,32,68,215,348,580,723,4,3,8,13,3,3,11,10,2,6,11,26,15,11,12,7,26,17,33,19,1,3,0,0,13,12,2,1,0,0
38,Tunisia,France,0.5,0.8,1-0,0.5 - 0.8,30-Nov-22,43627,Education City Stadium,Matt Conger,Wahbi Khazri,RaphaÃ«l Varane,Jalel Kadri,Didier Deschamps,35,65,272,368,573,676,3,3,5,10,3,2,14,6,7,8,23,19,22,37,9,13,9,13,23,21,3,2,0,0,8,17,1,0,0,0
39,Saudi Arabia,Mexico,1.1,2.3,1-2,1.1 - 2.3,30-Nov-22,84985,Lusail Iconic Stadium,Michael Oliver,Salem Al-Dawsari,Guillermo Ochoa,HervÃ© Renard,Tata Martino,40,60,192,329,357,494,2,10,10,26,8,1,20,18,1,8,9,31,15,16,8,7,18,18,28,12,2,6,0,0,12,5,1,1,0,0
40,Poland,Argentina,0.3,3.5,0-2,0.3 - 3.5,30-Nov-22,44089,Stadium 974,Danny Makkelie,Robert Lewandowski,Lionel Messi,CzesÅ‚aw Michniewicz,Lionel Scaloni,27,73,264,341,827,911,0,10,4,22,8,0,6,11,1,9,5,18,17,13,7,5,7,12,29,9,0,1,0,0,23,22,6,1,0,0
41,Canada,Morocco,1.4,0.5,1-2,1.4 - 0.5,1-Dec-22,43102,Al Thumama Stadium,Raphael Claus,Milan Borjan,Romain Saiss,John Herdman,Hoalid Regragui,58,42,480,573,309,404,0,2,5,6,0,0,14,14,6,2,19,8,13,23,7,12,10,7,8,22,4,4,0,0,9,11,0,1,0,0
42,Croatia,Belgium,0.7,3,0-0,0.7 - 3,1-Dec-22,43984,Ahmed bin Ali Stadium,Anthony Taylor,Luka Modric,Kevin De Bruyne,Zlatko DaliÄ‡,Roberto MartÃ­nez,49,51,508,616,545,638,4,3,11,16,3,4,7,9,2,4,21,24,9,14,6,7,10,10,24,25,4,0,0,0,18,18,4,0,0,0
43,Japan,Spain,1.4,1,2-1,1.4 - 1,1-Dec-22,44851,Khalifa International Stadium,Victor Gomes,Maya Yoshida,Sergio Busquets,Hajime Moriyasu,Luis Enrique,18,82,165,245,995,1106,3,5,6,12,4,1,9,6,0,2,2,22,11,11,17,3,10,9,26,5,2,2,0,0,8,11,3,0,0,0
44,Costa Rica,Germany,1.3,5.7,2-4,1.3 - 5.7,1-Dec-22,67054,Al Bayt Stadium,StÃ©phanie Frappart,Keylor Navas,Manuel Neuer,Luis Fernando SuÃ¡rez,Hansi Flick,32,68,274,372,672,773,6,11,8,32,7,4,3,9,1,14,11,32,21,10,8,5,12,9,45,8,4,3,0,0,12,7,1,0,0,0
45,Ghana,Uruguay,1.6,1.8,0-2,1.6 - 1.8,2-Dec-22,43443,Al Janoub Stadium,Daniel Siebert,Andrey Ayew,Luis Suarez,Otto Addo,Diego Alonso,51,49,374,492,365,475,3,6,9,12,4,3,18,11,5,2,23,11,23,23,7,10,11,21,17,22,2,2,0,0,12,20,2,3,0,0
46,Korea Republic,Portugal,1.7,1.3,2-1,1.7 - 1.3,2-Dec-22,44097,Education City Stadium,Facundo Tello,Son Heung-min,Cristiano Ronaldo,SÃ©rgio Costa,Fernando Santos,39,61,301,391,532,623,6,6,13,13,5,4,9,10,5,4,13,18,11,12,8,6,17,9,20,12,1,5,0,0,15,10,2,0,0,0
47,Serbia,Switzerland,1.3,2.7,2-3,1.3 - 2.7,2-Dec-22,41378,Stadium 974,Fernando Rapallini,Dusan Tadic,Granit Xhaka,Dragan StojkoviÄ‡,Murat Yakin,54,46,400,519,343,451,4,7,12,14,4,2,18,14,2,0,22,8,13,10,6,12,19,15,9,18,0,0,0,0,14,18,7,4,0,0
48,Cameroon,Brazil,0.5,2.5,1-0,0.5 - 2.5,2-Dec-22,85986,Lusail Iconic Stadium,Ismail Elfath,Vincent Aboubakar,Dani Alves,Rigobert Song,Tite,35,65,247,325,507,594,3,7,7,21,7,2,14,14,3,11,11,27,22,19,10,3,15,9,32,12,0,1,0,0,15,14,5,2,1,0
49,Netherlands,United States,1.7,1.5,3-1,1.7 - 1.5,3-Dec-22,44846,Khalifa International Stadium,Wilton Sampaio,Virgil van Dijk,Tyler Adams,Louis van Gaal,Gregg Berhalter,42,58,332,442,497,623,6,6,11,17,5,3,10,5,4,5,8,27,22,14,12,11,12,11,30,12,0,3,0,0,8,10,2,0,0,0
50,Argentina,Australia,1.6,0.6,2-1,1.6 - 0.6,3-Dec-22,45032,Ahmed bin Ali Stadium,Szymon Marciniak,Lionel Messi,Mathew Ryan,Lionel Scaloni,Graham Arnold,60,40,635,729,384,477,5,1,14,5,1,3,8,15,1,3,5,16,15,11,7,8,13,14,20,10,3,0,0,0,15,11,0,2,0,0
51,France,Poland,1.4,1.7,3-1,1.4 - 1.7,4-Dec-22,40989,Al Thumama Stadium,JesÃºs Valenzuela,Hugo Lloris,Robert Lewandowski,Didier Deschamps,CzesÅ‚aw Michniewicz,55,45,501,601,401,490,8,1,16,11,1,5,10,8,7,1,25,16,11,17,9,6,12,11,10,23,3,1,0,1,8,11,1,2,0,0
52,England,Senegal,1,0.8,3-0,1 - 0.8,4-Dec-22,65985,Al Bayt Stadium,IvÃ¡n Barton,Harry Kane,Kalidou Koulibaly,Gareth Southgate,Aliou CissÃ©,61,39,532,627,315,400,4,1,8,10,1,1,16,12,3,3,15,13,21,11,9,6,9,18,10,17,0,0,0,0,12,16,0,1,0,0
53,Japan,Croatia,1.2,1.4,(1) 1-1 (3),1.2 - 1.4,5-Dec-22,42523,Al Janoub Stadium,Ismail Elfath,Maya Yoshida,Luka Modric,Hajime Moriyasu,Zlatko DaliÄ‡,42,58,427,588,650,801,4,4,13,17,3,3,13,16,8,5,28,35,13,14,7,5,25,33,30,32,3,0,0,0,16,16,0,2,0,0
54,Brazil,Korea Republic,3.6,0.5,4-1,3.6 - 0.5,5-Dec-22,43847,Stadium 974,ClÃ©ment Turpin,Thiago Silva,Son Heung-min,Tite,Paulo Bento,53,47,560,639,474,563,8,6,17,8,5,5,8,13,5,4,13,14,15,21,12,11,7,12,10,11,0,5,1,0,16,8,0,1,0,0
55,Morocco,Spain,0.7,1,(3) 0-0 (0),0.7 - 1,6-Dec-22,44667,Education City Stadium,Fernando Rapallini,Romain Saiss,Sergio Busquets,Hoalid Regragui,Luis Enrique,24,76,241,352,969,1088,2,1,6,13,1,2,15,14,0,8,11,26,26,11,8,4,10,14,41,15,5,4,0,0,18,20,1,1,0,0
56,Portugal,Switzerland,2.3,1.2,6-1,2.3 - 1.2,6-Dec-22,83720,Lusail Iconic Stadium,CÃ©sar Arturo Ramos,Pepe,Granit Xhaka,Fernando Santos,Murat Yakin,47,53,395,485,442,537,9,2,15,10,1,3,12,10,6,6,14,15,16,5,8,5,10,11,11,14,3,3,0,0,13,15,0,2,0,0
57,Croatia,Brazil,0.6,2.5,(4) 1-1 (2),0.6 - 2.5,9-Dec-22,43893,Education City Stadium,Michael Oliver,Luka Modric,Thiago Silva,Zlatko DaliÄ‡,Tite,50,50,636,741,638,738,1,11,9,21,10,0,22,24,3,7,24,24,28,16,9,13,13,11,32,16,3,3,0,0,27,25,2,3,0,0
58,Netherlands,Argentina,0.6,1.9,(3) 2-2 (4),0.6 - 1.9,9-Dec-22,88235,Lusail Iconic Stadium,Antonio MatÃ©u,Virgil van Dijk,Lionel Messi,Louis van Gaal,Lionel Scaloni,52,48,572,701,526,642,2,4,6,13,3,0,30,18,2,8,25,12,18,19,15,6,19,12,17,20,1,2,0,1,20,30,4,8,0,0
59,Morocco,Portugal,1.4,0.9,1-0,1.4 - 0.9,10-Dec-22,44198,Al Thumama Stadium,Facundo Tello,Romain Saiss,Pepe,Hoalid Regragui,Fernando Santos,27,73,187,268,606,731,3,3,9,12,3,2,15,9,3,9,7,35,12,12,9,9,11,13,36,3,2,2,0,0,15,9,4,1,1,0
60,England,France,2.4,0.9,1-2,2.4 - 0.9,10-Dec-22,68895,Al Bayt Stadium,Wilton Sampaio,Harry Kane,Hugo Lloris,Gareth Southgate,Didier Deschamps,57,43,463,543,325,409,6,5,14,8,3,6,10,14,5,2,18,11,16,10,8,5,18,19,13,16,1,2,1,0,10,14,1,3,0,0
61,Argentina,Croatia,,,,,13-Dec-22,,Lusail Iconic Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,France,Morocco,,,,,14-Dec-22,,Al Bayt Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,18-Dec-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
